,time,CPI,real_GDP,inflation,unemployment_rate,population,household_income,population_density,RegionName,SizeRank,City,Metro,CountyName,value
0,2005-01-01,195.27,14901.27,3.39,5.3,31083,57348,5799.067164179104,89102,2135,Las Vegas,Las Vegas,Clark,216000.0
1,2005-01-01,195.27,14901.27,3.39,5.3,37853,43935,5649.701492537313,89103,486,Las Vegas,Las Vegas,Clark,252000.0
2,2005-01-01,195.27,14901.27,3.39,5.3,36505,36208,6426.93661971831,89104,1961,Las Vegas,Las Vegas,Clark,198900.0
3,2005-01-01,195.27,14901.27,3.39,5.3,32025,61450,5865.384615384615,89107,2935,Las Vegas,Las Vegas,Clark,196800.0
4,2005-01-01,195.27,14901.27,3.39,5.3,57746,38994,6423.359288097887,89108,116,Las Vegas,Las Vegas,Clark,218500.0
5,2005-01-01,195.27,14901.27,3.39,5.3,17766,119665,4010.38374717833,89109,7984,Las Vegas,Las Vegas,Clark,256400.0
6,2005-01-01,195.27,14901.27,3.39,5.3,66087,38495,5948.424842484249,89110,434,Las Vegas,Las Vegas,Clark,196600.0
7,2005-01-01,195.27,14901.27,3.39,5.3,16893,143331,1516.427289048474,89113,2565,Las Vegas,Las Vegas,Clark,355300.0
8,2005-01-01,195.27,14901.27,3.39,5.3,48204,32076,1927.389044382247,89115,816,Las Vegas,Las Vegas,Clark,183000.0
9,2005-01-01,195.27,14901.27,3.39,5.3,47465,93495,5204.495614035088,89117,196,Las Vegas,Las Vegas,Clark,393900.0
10,2005-01-01,195.27,14901.27,3.39,5.3,14870,61189,1405.4820415879017,89118,5333,Las Vegas,Las Vegas,Clark,305300.0
11,2005-01-01,195.27,14901.27,3.39,5.3,37290,50889,2883.9907192575406,89119,694,Las Vegas,Las Vegas,Clark,241000.0
12,2005-01-01,195.27,14901.27,3.39,5.3,20474,71479,2941.6666666666665,89120,4786,Las Vegas,Las Vegas,Clark,273000.0
13,2005-01-01,195.27,14901.27,3.39,5.3,53366,40969,5800.652173913044,89121,174,Las Vegas,Las Vegas,Clark,214500.0
14,2005-01-01,195.27,14901.27,3.39,5.3,32581,38939,3588.215859030837,89122,770,Las Vegas,Las Vegas,Clark,233600.0
15,2005-01-01,195.27,14901.27,3.39,5.3,57955,57116,5436.679174484052,89123,310,Las Vegas,Las Vegas,Clark,341400.0
16,2005-01-01,195.27,14901.27,3.39,5.3,1171,99892,0.85966406295883,89124,14329,Mount Charleston,Las Vegas,Clark,376900.0
17,2005-01-01,195.27,14901.27,3.39,5.3,31693,57089,5282.166666666667,89128,1796,Las Vegas,Las Vegas,Clark,318200.0
18,2005-01-01,195.27,14901.27,3.39,5.3,43446,66404,4340.25974025974,89129,724,Las Vegas,Las Vegas,Clark,329200.0
