,time,CPI,real_GDP,inflation,unemployment_rate,population,household_income,population_density,RegionName
0,2005-01-01,195.27,14901.27,3.39,5.3,31083,57348,5799.067164179104,89102
1,2005-01-01,195.27,14901.27,3.39,5.3,37853,43935,5649.701492537313,89103
2,2005-01-01,195.27,14901.27,3.39,5.3,36505,36208,6426.93661971831,89104
3,2005-01-01,195.27,14901.27,3.39,5.3,32025,61450,5865.384615384615,89107
4,2005-01-01,195.27,14901.27,3.39,5.3,57746,38994,6423.359288097887,89108
5,2005-01-01,195.27,14901.27,3.39,5.3,17766,119665,4010.38374717833,89109
6,2005-01-01,195.27,14901.27,3.39,5.3,66087,38495,5948.424842484249,89110
7,2005-01-01,195.27,14901.27,3.39,5.3,16893,143331,1516.427289048474,89113
8,2005-01-01,195.27,14901.27,3.39,5.3,48204,32076,1927.389044382247,89115
9,2005-01-01,195.27,14901.27,3.39,5.3,47465,93495,5204.495614035088,89117
10,2005-01-01,195.27,14901.27,3.39,5.3,14870,61189,1405.4820415879017,89118
11,2005-01-01,195.27,14901.27,3.39,5.3,37290,50889,2883.9907192575406,89119
12,2005-01-01,195.27,14901.27,3.39,5.3,20474,71479,2941.6666666666665,89120
13,2005-01-01,195.27,14901.27,3.39,5.3,53366,40969,5800.652173913044,89121
14,2005-01-01,195.27,14901.27,3.39,5.3,32581,38939,3588.215859030837,89122
15,2005-01-01,195.27,14901.27,3.39,5.3,57955,57116,5436.679174484052,89123
16,2005-01-01,195.27,14901.27,3.39,5.3,1171,99892,0.85966406295883,89124
17,2005-01-01,195.27,14901.27,3.39,5.3,31693,57089,5282.166666666667,89128
18,2005-01-01,195.27,14901.27,3.39,5.3,43446,66404,4340.25974025974,89129
19,2005-01-01,195.27,14901.27,3.39,5.3,28724,54501,3754.7712418300653,89130
20,2005-01-01,195.27,14901.27,3.39,5.3,35132,79299,2191.6406737367433,89131
21,2005-01-01,195.27,14901.27,3.39,5.3,23438,157454,3535.1432880844645,89134
22,2005-01-01,195.27,14901.27,3.39,5.3,17923,158870,393.13445931125244,89135
23,2005-01-01,195.27,14901.27,3.39,5.3,8429,122950,2002.1377672209026,89138
24,2005-01-01,195.27,14901.27,3.39,5.3,21393,54639,2020.113314447592,89139
25,2005-01-01,195.27,14901.27,3.39,5.3,16447,111457,1538.5406922357345,89141
26,2005-01-01,195.27,14901.27,3.39,5.3,28309,38303,5947.268907563025,89142
27,2005-01-01,195.27,14901.27,3.39,5.3,10547,60072,3083.918128654971,89143
28,2005-01-01,195.27,14901.27,3.39,5.3,17168,131761,4368.447837150127,89144
29,2005-01-01,195.27,14901.27,3.39,5.3,21218,104588,4602.603036876356,89145
30,2005-01-01,195.27,14901.27,3.39,5.3,15274,58265,3188.726513569937,89146
31,2005-01-01,195.27,14901.27,3.39,5.3,42226,63807,5690.8355795148245,89147
32,2005-01-01,195.27,14901.27,3.39,5.3,27450,62736,2228.0844155844156,89148
33,2005-01-01,195.27,14901.27,3.39,5.3,21821,88559,1818.4166666666667,89149
34,2005-01-01,195.27,14901.27,3.39,5.3,23049,39167,710.2927580893682,89156
35,2005-01-01,195.27,14901.27,3.39,5.3,1385,39604,7.170221577966453,89166
36,2005-01-01,195.27,14901.27,3.39,5.3,9898,59661,517.948717948718,89178
37,2005-01-01,195.27,14901.27,3.39,5.3,530,52456,4.448174569869912,89179
38,2005-01-01,195.27,14901.27,3.39,5.3,11602,54307,1655.0641940085593,89183
39,2005-01-01,195.27,14901.27,3.39,5.3,21686,46813,651.0357250075052,89701
40,2005-01-01,195.27,14901.27,3.39,5.3,8938,82174,352.0283576211107,89703
41,2005-01-01,195.27,14901.27,3.39,5.3,3967,85658,51.81556948798328,89704
42,2005-01-01,195.27,14901.27,3.39,5.3,4573,55870,105.95458758109362,89705
43,2005-01-01,195.27,14901.27,3.39,5.3,16579,40500,523.1618807194699,89706
44,2005-01-01,195.27,14901.27,3.39,5.3,18336,49385,10.520759220582498,89801
45,2005-01-01,195.27,14901.27,3.39,5.3,11528,56316,18.312946783161237,89815
46,2005-01-01,195.27,14901.27,3.39,5.3,12722,49778,63.105158730158735,89403
